storm_id,storm_name,date,time,record_identifier,storm_type,latitude,longitude,max_sustained_wind_knots,min_central_pressure_mb,latitude_float,longitude_float
AL011851,UNNAMED,18510625,0000,,HU,28.0N,94.8W,80,-999,28.0,-94.8
AL011851,UNNAMED,18510625,0600,,HU,28.0N,95.4W,80,-999,28.0,-95.4
AL011851,UNNAMED,18510625,1200,,HU,28.0N,96.0W,80,-999,28.0,-96.0
AL011851,UNNAMED,18510625,1800,,HU,28.1N,96.5W,80,-999,28.1,-96.5
AL011851,UNNAMED,18510625,2100,L,HU,28.2N,96.8W,80,-999,28.2,-96.8
AL011851,UNNAMED,18510626,0000,,HU,28.2N,97.0W,70,-999,28.2,-97.0
AL011851,UNNAMED,18510626,0600,,TS,28.3N,97.6W,60,-999,28.3,-97.6
AL011851,UNNAMED,18510626,1200,,TS,28.4N,98.3W,60,-999,28.4,-98.3
AL011851,UNNAMED,18510626,1800,,TS,28.6N,98.9W,50,-999,28.6,-98.9
AL011851,UNNAMED,18510627,0000,,TS,29.0N,99.4W,50,-999,29.0,-99.4
AL011851,UNNAMED,18510627,0600,,TS,29.5N,99.8W,40,-999,29.5,-99.8
AL011851,UNNAMED,18510627,1200,,TS,30.0N,100.0W,40,-999,30.0,-100.0
AL011851,UNNAMED,18510627,1800,,TS,30.5N,100.1W,40,-999,30.5,-100.1
AL011851,UNNAMED,18510628,0000,,TS,31.0N,100.2W,40,-999,31.0,-100.2
AL021851,UNNAMED,18510705,1200,,HU,22.2N,97.6W,80,-999,22.2,-97.6
AL031851,UNNAMED,18510710,1200,,TS,12.0N,60.0W,50,-999,12.0,-60.0
AL041851,UNNAMED,18510816,0000,,TS,13.4N,48.0W,40,-999,13.4,-48.0
AL041851,UNNAMED,18510816,0600,,TS,13.7N,49.5W,40,-999,13.7,-49.5
AL041851,UNNAMED,18510816,1200,,TS,14.0N,51.0W,50,-999,14.0,-51.0
AL041851,UNNAMED,18510816,1800,,TS,14.4N,52.8W,50,-999,14.4,-52.8
AL041851,UNNAMED,18510817,0000,,TS,14.9N,54.6W,60,-999,14.9,-54.6
AL041851,UNNAMED,18510817,0600,,TS,15.4N,56.5W,60,-999,15.4,-56.5
AL041851,UNNAMED,18510817,1200,,HU,15.9N,58.5W,70,-999,15.9,-58.5
AL041851,UNNAMED,18510817,1800,,HU,16.1N,60.4W,70,-999,16.1,-60.4
AL041851,UNNAMED,18510818,0000,,HU,16.6N,62.5W,80,-999,16.6,-62.5
AL041851,UNNAMED,18510818,0600,,HU,16.9N,64.1W,80,-999,16.9,-64.1
AL041851,UNNAMED,18510818,1200,,HU,17.2N,66.0W,90,-999,17.2,-66.0
AL041851,UNNAMED,18510818,1800,,HU,17.6N,67.6W,90,-999,17.6,-67.6
AL041851,UNNAMED,18510819,0000,,HU,18.0N,69.3W,90,-999,18.0,-69.3
AL041851,UNNAMED,18510819,0600,,HU,18.4N,71.1W,70,-999,18.4,-71.1
AL041851,UNNAMED,18510819,1200,,TS,18.9N,72.6W,60,-999,18.9,-72.6
AL041851,UNNAMED,18510819,1800,,TS,19.4N,74.3W,60,-999,19.4,-74.3
AL041851,UNNAMED,18510820,0000,,HU,19.9N,75.9W,70,-999,19.9,-75.9
AL041851,UNNAMED,18510820,0600,,HU,20.5N,77.6W,70,-999,20.5,-77.6
AL041851,UNNAMED,18510820,1200,,HU,21.2N,79.0W,70,-999,21.2,-79.0
AL041851,UNNAMED,18510820,1800,,HU,21.9N,80.4W,70,-999,21.9,-80.4
AL041851,UNNAMED,18510821,0000,,TS,22.6N,81.4W,60,-999,22.6,-81.4
AL041851,UNNAMED,18510821,0600,,TS,23.2N,82.5W,60,-999,23.2,-82.5
AL041851,UNNAMED,18510821,1200,,HU,23.9N,83.6W,70,-999,23.9,-83.6
AL041851,UNNAMED,18510821,1800,,HU,24.4N,84.3W,70,-999,24.4,-84.3
AL041851,UNNAMED,18510822,0000,,HU,25.0N,84.9W,80,-999,25.0,-84.9
AL041851,UNNAMED,18510822,0600,,HU,25.6N,85.5W,80,-999,25.6,-85.5
AL041851,UNNAMED,18510822,1200,,HU,26.2N,86.0W,90,-999,26.2,-86.0
AL041851,UNNAMED,18510822,1800,,HU,26.8N,86.3W,90,-999,26.8,-86.3
AL041851,UNNAMED,18510823,0000,,HU,27.4N,86.5W,100,-999,27.4,-86.5
AL041851,UNNAMED,18510823,0600,,HU,28.0N,86.6W,100,-999,28.0,-86.6
AL041851,UNNAMED,18510823,1200,,HU,28.5N,86.6W,100,-999,28.5,-86.6
AL041851,UNNAMED,18510823,1800,,HU,29.6N,86.1W,100,-999,29.6,-86.1
AL041851,UNNAMED,18510823,2100,L,HU,30.1N,85.7W,100,-999,30.1,-85.7
AL041851,UNNAMED,18510824,0000,,HU,30.7N,85.1W,90,-999,30.7,-85.1
AL041851,UNNAMED,18510824,0600,,HU,31.6N,84.1W,70,-999,31.6,-84.1
AL041851,UNNAMED,18510824,1200,,TS,32.5N,83.0W,60,-999,32.5,-83.0
AL041851,UNNAMED,18510824,1800,,TS,33.4N,81.4W,50,-999,33.4,-81.4
AL041851,UNNAMED,18510825,0000,,TS,34.0N,80.0W,40,-999,34.0,-80.0
AL041851,UNNAMED,18510825,0600,,TS,34.8N,78.6W,40,-999,34.8,-78.6
AL041851,UNNAMED,18510825,1200,,TS,35.8N,77.0W,40,-999,35.8,-77.0
AL041851,UNNAMED,18510825,1800,,TS,36.8N,75.1W,40,-999,36.8,-75.1
AL041851,UNNAMED,18510826,0000,,TS,37.8N,73.6W,40,-999,37.8,-73.6
AL041851,UNNAMED,18510826,0600,,TS,38.9N,71.8W,40,-999,38.9,-71.8
AL041851,UNNAMED,18510826,1200,,TS,40.0N,70.0W,40,-999,40.0,-70.0
AL041851,UNNAMED,18510826,1800,,TS,41.3N,66.8W,40,-999,41.3,-66.8
AL041851,UNNAMED,18510827,0000,,TS,42.8N,63.3W,40,-999,42.8,-63.3
AL041851,UNNAMED,18510827,0600,,TS,44.5N,60.2W,40,-999,44.5,-60.2
AL041851,UNNAMED,18510827,1200,,TS,46.4N,57.2W,40,-999,46.4,-57.2
AL041851,UNNAMED,18510827,1800,,TS,48.5N,54.2W,40,-999,48.5,-54.2
AL051851,UNNAMED,18510913,0000,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510913,0600,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510913,1200,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510913,1800,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510914,0000,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510914,0600,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510914,1200,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510914,1800,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510915,0000,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510915,0600,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510915,1200,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510915,1800,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510916,0000,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510916,0600,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510916,1200,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510916,1800,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL061851,UNNAMED,18511016,0000,,TS,28.7N,78.0W,40,-999,28.7,-78.0
AL061851,UNNAMED,18511016,0600,,TS,29.1N,77.8W,40,-999,29.1,-77.8
AL061851,UNNAMED,18511016,1200,,TS,29.5N,77.5W,50,-999,29.5,-77.5
AL061851,UNNAMED,18511016,1800,,TS,30.1N,77.1W,50,-999,30.1,-77.1
AL061851,UNNAMED,18511017,0000,,TS,30.7N,76.6W,60,-999,30.7,-76.6
AL061851,UNNAMED,18511017,0600,,TS,31.2N,76.3W,60,-999,31.2,-76.3
AL061851,UNNAMED,18511017,1200,,TS,31.6N,75.9W,60,-999,31.6,-75.9
AL061851,UNNAMED,18511017,1800,,TS,32.0N,75.5W,60,-999,32.0,-75.5
AL061851,UNNAMED,18511018,0000,,TS,32.7N,74.9W,60,-999,32.7,-74.9
AL061851,UNNAMED,18511018,0600,,TS,33.3N,74.3W,60,-999,33.3,-74.3
AL061851,UNNAMED,18511018,1200,,TS,34.0N,73.8W,60,-999,34.0,-73.8
AL061851,UNNAMED,18511018,1800,,TS,35.3N,73.0W,60,-999,35.3,-73.0
AL061851,UNNAMED,18511019,0000,,TS,37.0N,72.6W,50,-999,37.0,-72.6
AL061851,UNNAMED,18511019,0600,,TS,38.5N,72.1W,50,-999,38.5,-72.1
AL061851,UNNAMED,18511019,1200,,TS,40.2N,71.8W,50,-999,40.2,-71.8
AL061851,UNNAMED,18511019,1500,L,TS,41.1N,71.7W,50,-999,41.1,-71.7
AL061851,UNNAMED,18511019,1800,,TS,42.0N,71.6W,40,-999,42.0,-71.6
AL011852,UNNAMED,18520819,0000,,TS,20.5N,67.1W,60,-999,20.5,-67.1
AL011852,UNNAMED,18520819,0600,,TS,20.7N,68.0W,60,-999,20.7,-68.0
AL011852,UNNAMED,18520819,1200,,TS,20.9N,68.8W,60,-999,20.9,-68.8
AL011852,UNNAMED,18520819,1800,,TS,21.1N,69.6W,60,-999,21.1,-69.6
AL011852,UNNAMED,18520820,0000,,HU,21.2N,70.6W,70,-999,21.2,-70.6
AL011852,UNNAMED,18520820,0600,,HU,21.5N,71.9W,70,-999,21.5,-71.9
AL011852,UNNAMED,18520820,1200,,HU,21.7N,73.0W,70,-999,21.7,-73.0
AL011852,UNNAMED,18520820,1800,,HU,21.9N,74.0W,70,-999,21.9,-74.0
AL011852,UNNAMED,18520821,0000,,HU,22.1N,74.9W,80,-999,22.1,-74.9
AL011852,UNNAMED,18520821,0600,,HU,22.2N,76.1W,80,-999,22.2,-76.1
AL011852,UNNAMED,18520821,1200,,HU,22.6N,77.1W,80,-999,22.6,-77.1
